id,categories,price (CHF),latitude,longitude,city,living_space (m2),num_rooms,floor,num_floors,year_built,is_new_building,is_old_building,year_last_renovated,street,postal_code
4001762773,"['APARTMENT', 'FLAT']",6780.0,47.551764341276,7.608633661996,Basel,250.0,7.0,3.0,,,,,,Gellertstrasse 28,4052
4001762772,"['APARTMENT', 'FLAT']",4900.0,47.552084341279,7.606447661991,Basel,190.0,6.0,1.0,,,,,1994.0,Lindenweg 1,4052
4001758419,"['APARTMENT', 'FLAT']",3490.0,47.565689341276,7.606848661997,Basel,80.0,4.5,4.0,,,,,,Riehenstrasse 167,4058
4001753185,"['APARTMENT', 'FLAT']",2810.0,47.561794341271,7.596644661991,Basel,76.0,3.0,2.0,,2011.0,,,2012.0,Clarahofweg 15,4058
4001750588,"['APARTMENT', 'FLAT']",2430.0,47.565874341271,7.562933661998,Basel,100.0,4.5,2.0,,1980.0,,,,Markircherstrasse 36,4055
4001731222,"['APARTMENT', 'FLAT']",2640.0,47.549226341274,7.620507661991,Basel,99.0,4.5,5.0,,1970.0,,,2019.0,Lehenmattstrasse 216,4052
4001702726,"['APARTMENT', 'FLAT']",2890.0,47.545354341275,7.620084661993,Basel,99.0,4.5,15.0,,1960.0,,,2002.0,Lehenmattstr. 308,4052
4001689242,"['APARTMENT', 'FLAT']",3710.0,47.571227341279,7.575163661997,Basel,140.0,5.5,3.0,,2010.0,,,,Lothringerplatz 2,4056
4001682028,"['APARTMENT', 'FLAT']",4790.0,47.552404341271,7.598773661997,Basel,180.0,4.5,7.0,,1962.0,,,1991.0,St. Alban-Anlage 25,4052
4001669765,"['APARTMENT', 'FLAT']",2990.0,47.555384341275,7.588705661992,Basel,88.0,4.0,5.0,,1863.0,True,,,Gerbergasse 70,4001
4001668664,"['APARTMENT', 'FLAT']",2720.0,47.553124341276,7.588996661997,Basel,75.0,3.0,5.0,,1986.0,,,2015.0,Steinenvorstadt 27,4051
4001668029,"['APARTMENT', 'FLAT']",3950.0,47.553124341276,7.588996661997,Basel,140.0,4.5,6.0,,,,,,Steinenvorstadt 27,4051
4001668027,"['APARTMENT', 'FLAT']",2720.0,47.553124341276,7.588996661997,Basel,79.0,3.0,5.0,,,,,,Steinenvorstadt 27,4051
4001658390,"['APARTMENT', 'FLAT']",2660.0,47.546505341272,7.619863661995,Basel,81.0,4.5,12.0,,1969.0,,,2022.0,Redingstrasse 10,4052
4001641598,"['APARTMENT', 'STUDIO']",1420.0,47.567484341276,7.596639661998,Basel,34.0,2.0,1.0,,,,,,Efringerstrasse 2,4057
4001536445,"['APARTMENT', 'FLAT']",3580.0,47.552588341276,7.588210661995,Basel,110.0,5.0,5.0,,,,,,Steinenvorstadt 36,4051
4001535057,"['APARTMENT', 'FLAT']",7910.0,47.564184341278,7.588123661995,Basel,290.0,7.5,1.0,,1910.0,,,1981.0,Unterer Rheinweg 46,4057
4001467551,"['APARTMENT', 'FLAT']",1980.0,47.544964341273,7.592966661993,Basel,31.0,2.0,,,,,,2024.0,Hochstrasse 16,4053
4001384213,"['APARTMENT', 'STUDIO']",1160.0,47.567446341272,7.596994661997,Basel,29.0,1.0,6.0,,,,,,Feldbergstrasse 137,4057
4001254134,"['APARTMENT', 'ATTIC_FLAT']",3710.0,47.560854341274,7.598699661995,Basel,128.0,3.5,5.0,,2024.0,,,2024.0,Rheinfelderstrasse 1,4058
4001779898,['APARTMENT'],2430.0,47.544894341277,7.581844661994,Basel,88.0,2.0,4.0,4.0,1932.0,True,,2023.0,Margarethenstrasse 84,4053
4001699191,"['APARTMENT', 'FLAT']",1930.0,47.544944341275,7.581734661997,Basel,65.0,1.5,4.0,,1934.0,,True,2023.0,Pruntruterstrasse 39,4053
4001607695,"['APARTMENT', 'ROOF_FLAT']",2330.0,47.553078341271,7.602629661995,Basel,71.0,3.0,4.0,,1933.0,,,,St. Alban-Anlage 65,4052
4001561500,"['APARTMENT', 'DUPLEX']",2760.0,47.555694341273,7.588799661991,Basel,146.0,3.5,4.0,,,,,,Gerbergasse 55/Falknerstr. 32,4051
4001456558,"['APARTMENT', 'FLAT']",2670.0,47.535234341278,7.597565661995,Basel,104.0,3.5,4.0,,,,,,Spiegelbergstrasse 33,4059
4001817070,"['APARTMENT', 'FLAT']",3030.0,47.551974341279,7.610566661991,Basel,96.0,3.5,3.0,,2017.0,,,,Magnolienpark 1,4052
4001807309,"['APARTMENT', 'FLAT']",1800.0,47.567155341277,7.595053661994,Basel,66.0,3.0,4.0,,,,,,Hammerstrasse 129,4057
4001807308,"['APARTMENT', 'FLAT']",1490.0,47.567155341277,7.595053661994,Basel,59.0,2.0,2.0,,,,,,Hammerstrasse 129,4057
4001807307,"['APARTMENT', 'FLAT']",1350.0,47.567155341277,7.595053661994,Basel,46.0,2.0,2.0,,,,,,Hammerstrasse 129,4057
4001792176,"['APARTMENT', 'FLAT']",1520.0,47.570854341275,7.590679661998,Basel,61.0,2.0,4.0,,1935.0,,,2007.0,Horburgstrasse 7,4057
4001783418,"['APARTMENT', 'FLAT']",3270.0,47.569927341279,7.603099661994,Basel,110.0,4.5,7.0,,2018.0,True,,,Erlenmattstr. 87,4058
4001783052,"['APARTMENT', 'FLAT']",1890.0,47.546904341273,7.620189661994,Basel,71.0,3.5,6.0,,1969.0,,,2022.0,Redingstrasse 22,4052
4001780566,"['APARTMENT', 'FLAT']",2168.0,47.571043341276,7.572864661999,Basel,102.0,3.5,4.0,,2009.0,,,,Voltastr. 106,4056
4001771002,"['APARTMENT', 'FLAT']",1570.0,47.572135341274,7.599803661998,Basel,54.0,2.0,2.0,,2015.0,,,,Erlkönigweg 33,4058
4001770892,"['APARTMENT', 'FLAT']",4375.0,47.547085341275,7.609828661991,Basel,153.0,4.5,3.0,,2024.0,,,2024.0,Adlerstrasse 30,4052
4001766110,"['APARTMENT', 'LOFT']",2215.0,47.541194341275,7.590074661998,Basel,90.0,3.5,,,2004.0,,,,Gundeldingerstrasse 179,4053
4001765220,"['APARTMENT', 'ATTIC_FLAT']",3825.0,47.560774341279,7.598776661994,Basel,108.0,4.5,5.0,,2024.0,,,2024.0,Rheinfelderstrasse 3,4058
4001733303,"['APARTMENT', 'FLAT']",2360.0,47.570074341279,7.603559661998,Basel,103.0,2.5,3.0,,2019.0,True,,,Erlenmattstrasse 79,4058
4001729841,"['APARTMENT', 'LOFT']",2650.0,47.567604341278,7.591326661993,Basel,69.0,3.5,1.0,,1902.0,,,,Oetlingerstrasse 74,4057
4001679810,"['APARTMENT', 'FLAT']",3290.0,47.544654341271,7.582459661992,Basel,111.0,4.5,1.0,,,,,2014.0,Margarethenstrasse 87,4053
4001668615,"['APARTMENT', 'DUPLEX']",5850.0,47.557993341271,7.580368661996,Basel,210.0,6.5,3.0,,1980.0,,True,2013.0,Missionsstr. 3,4055
4001668582,"['APARTMENT', 'FLAT']",2890.0,47.562924341278,7.579004661999,Basel,87.0,4.5,1.0,,1980.0,,True,2012.0,Friedensgasse 19,4056
4001807156,"['APARTMENT', 'FLAT']",3880.0,47.540483341271,7.602069661997,Basel,130.0,5.5,1.0,,,,,2018.0,Falkensteinerstrasse 4,4053
4001793392,"['APARTMENT', 'FLAT']",3060.0,47.551334341278,7.593613661991,Basel,92.0,3.5,5.0,,1959.0,,,2019.0,Henric Petri-Strasse 26,4051
4001779890,"['APARTMENT', 'FLAT']",2730.0,47.556604341271,7.587380661992,Basel,71.0,3.5,4.0,5.0,,,True,2022.0,Rümelinsplatz 7,4001
4001765097,"['APARTMENT', 'FLAT']",3060.0,47.564044341271,7.561463661992,Basel,130.0,4.5,4.0,,,,,,Felsplattenstrasse 6,4055
4001754630,"['APARTMENT', 'FLAT']",5710.0,47.564459341273,7.583238661995,Basel,220.0,5.5,6.0,,,,True,,Wilhelm His-Strasse 1,4056
4001604652,"['APARTMENT', 'FLAT']",2850.0,47.563033341277,7.562783661993,Basel,110.0,5.0,3.0,,,,,,Welschmattstrasse 19,4055
4001323544,"['APARTMENT', 'FLAT']",2340.0,47.567664341275,7.589599661994,Basel,96.0,4.0,3.0,,,,,,Oetlingerstr. 45,4057
4001317210,['BIFAMILIAR_HOUSE'],3670.0,47.557535341275,7.586577661996,Basel,160.0,3.5,,2.0,1351.0,,,2017.0,Spalenberg 2,4051
4001119202,"['APARTMENT', 'FLAT']",3770.0,47.550759341271,7.578964661992,Basel,140.0,4.5,2.0,,1911.0,,True,,Oberwilerstrasse 20,4054
4001021509,['APARTMENT'],6440.0,47.561444341272,7.590329661994,Basel,,5.5,1.0,,,,,2021.0,Unterer Rheinweg 18,4058
4001825196,['APARTMENT'],2440.0,47.559116341279,7.594850661999,Basel,,4.0,4.0,4.0,1902.0,,,,Lindenberg 17,4058
4001821441,['APARTMENT'],3400.0,47.559897341279,7.563838661991,Basel,,5.5,1.0,,,,,,Im Ettingerhof 9,4055
4001820662,"['APARTMENT', 'FLAT']",1890.0,47.545535341278,7.583448661993,Basel,61.0,3.5,2.0,,1975.0,,,2008.0,Dornacherstrasse 8,4053
4001817570,"['APARTMENT', 'FLAT']",1260.0,47.545535341278,7.583448661993,Basel,35.0,2.0,5.0,,1975.0,,,2008.0,Dornacherstrasse 8,4053
4001817385,"['APARTMENT', 'DUPLEX']",2060.0,47.552218341271,7.593904661996,Basel,59.0,3.5,5.0,,1938.0,,,2016.0,Aeschenvorstadt 57,4051
4001817378,"['APARTMENT', 'FLAT']",4420.0,47.549547341271,7.587668661996,Basel,109.0,4.0,10.0,,2011.0,,,,Steinentorberg 18,4051
4001813719,"['APARTMENT', 'FLAT']",2940.0,47.567898341274,7.610536661995,Basel,63.0,3.5,1.0,,,,,,Riehenring 143,4058
4001810867,"['APARTMENT', 'FLAT']",3050.0,47.552414341272,7.605340661996,Basel,109.0,4.5,,,1982.0,,,,Gellertstrasse 2,4052
4001808079,"['APARTMENT', 'FLAT']",3250.0,47.571043341276,7.572864661999,Basel,130.0,4.5,5.0,,2009.0,,,,Voltastr. 106,4056
4001807265,"['APARTMENT', 'ROOF_FLAT']",2170.0,47.561888341277,7.566023661998,Basel,71.0,3.0,4.0,,,,,,Blotzheimerstrasse 28A,4055
4001794569,"['APARTMENT', 'FLAT']",2330.0,47.570074341279,7.603559661998,Basel,69.0,3.5,3.0,,,True,,,Erlenmattstr. 79,4058
4001794568,"['APARTMENT', 'FLAT']",2510.0,47.569773341274,7.603459661996,Basel,75.0,3.5,5.0,,,True,,,Erlenmattstr. 83,4058
4001780945,['APARTMENT'],3240.0,47.558605341274,7.574514661993,Basel,,4.0,4.0,,2012.0,,,,Spalenring 70,4055
4001774655,"['APARTMENT', 'FLAT']",3800.0,47.554534341279,7.570264661997,Basel,102.0,5.5,3.0,,2024.0,,,,Sennheimerstrasse 50,4054
4001773270,['APARTMENT'],5160.0,47.566214341278,7.587194661998,Basel,,5.5,,,,,,,Leuengasse 1,4057
4001771003,"['APARTMENT', 'FLAT']",2340.0,47.572849341277,7.599375661999,Basel,56.0,3.5,7.0,,2015.0,,,,Tangentenweg 56,4058
4001771000,"['APARTMENT', 'FLAT']",1980.0,47.572874341271,7.599876661995,Basel,56.0,3.0,2.0,,2015.0,,,,Erlkönigweg 41,4058
4001770891,"['APARTMENT', 'FLAT']",3490.0,47.546958341272,7.609943661997,Basel,96.0,4.5,1.0,,2024.0,,,2024.0,Adlerstrasse 32,4052
4001770890,"['APARTMENT', 'FLAT']",4850.0,47.546958341272,7.609943661997,Basel,160.0,5.5,3.0,,2024.0,,,2024.0,Adlerstrasse 32,4052
4001770397,"['APARTMENT', 'FLAT']",2410.0,47.560854341274,7.598699661995,Basel,59.0,3.5,3.0,,2024.0,,,2024.0,Rheinfelderstrasse 1,4058
4001765835,"['APARTMENT', 'FLAT']",3410.0,47.560854341274,7.598699661995,Basel,94.0,4.5,3.0,,2024.0,,,,Rheinfelderstrasse 1,4058
4001765219,"['APARTMENT', 'FLAT']",3740.0,47.560774341279,7.598776661994,Basel,104.0,5.5,3.0,,2024.0,,,2024.0,Rheinfelderstrasse 3,4058
4001762439,"['APARTMENT', 'FLAT']",2720.0,47.577468341272,7.589806661991,Basel,73.0,4.5,6.0,,,,,2020.0,Inselstrasse 55,4057
4001754412,"['APARTMENT', 'FLAT']",3290.0,47.542474341272,7.586364661998,Basel,109.0,3.5,6.0,,1975.0,,True,2014.0,Gundeldingerstr. 125,4053
4001750583,"['APARTMENT', 'FLAT']",2450.0,47.542997341278,7.599036661991,Basel,78.0,4.0,,,1901.0,,,2021.0,Thiersteinerallee 3,4053
4001749954,"['APARTMENT', 'DUPLEX']",3280.0,47.548343341275,7.589826661996,Basel,113.0,4.5,4.0,,1997.0,,True,,Centralbahnplatz 12,4051
4001749903,"['APARTMENT', 'FLAT']",2360.0,47.569916341272,7.603683661999,Basel,60.0,3.5,6.0,,,True,,,Erlenmattstr. 81,4058
4001748590,"['APARTMENT', 'FLAT']",2290.0,47.569144341277,7.594034661999,Basel,69.0,4.0,3.0,,,,,,Amerbachstrasse 62,4057
4001746562,"['APARTMENT', 'FLAT']",3900.0,47.570265341277,7.602476661991,Basel,130.0,5.5,5.0,,,True,,,Erlenmattstr. 69,4058
4001744848,"['APARTMENT', 'FLAT']",6990.0,47.556184341279,7.585975661993,Basel,340.0,5.5,3.0,4.0,,,True,,Heuberg 22,4051
4001731946,"['APARTMENT', 'FLAT']",3220.0,47.566765341274,7.594230661999,Basel,94.0,5.0,5.0,,,,,,Feldbergstrasse 96,4057
4001731945,"['APARTMENT', 'FLAT']",1660.0,47.566765341274,7.594230661999,Basel,36.0,2.0,1.0,,,,,,Feldbergstrasse 96,4057
4001731944,"['APARTMENT', 'FLAT']",2810.0,47.566765341274,7.594230661999,Basel,81.0,4.0,1.0,,,,,,Feldbergstrasse 96,4057
4001731943,"['APARTMENT', 'FLAT']",2910.0,47.548914341277,7.579676661994,Basel,76.0,4.0,1.0,,,,,,Bachlettenstrasse 39,4054
4001731940,"['APARTMENT', 'FLAT']",1710.0,47.548844341274,7.579923661998,Basel,30.0,2.0,,,,,,,Bachlettenstrasse 37,4054
